Ticker,Sector,Signals,HR8W,AvgRet8W,AvgMaxDD,CleanHR,Score
ARGX,IBB,11,81.8%,19.9%,-3.3%,87.5%,1.400
GMAB,IBB,24,75.0%,7.0%,-5.5%,72.2%,1.226
ONC,IBB,17,70.6%,10.1%,-7.7%,64.3%,1.148
RVMD,XBI,14,78.6%,11.6%,-5.9%,62.5%,1.070
MRNA,IBB,14,57.1%,7.4%,-11.2%,58.3%,0.978
APGE,XBI,7,57.1%,9.5%,-9.7%,60.0%,0.942
SMMT,XBI,19,57.9%,5.2%,-10.9%,62.5%,0.941
BBIO,IBB,13,61.5%,8.6%,-15.4%,54.5%,0.897
VRTX,IBB,50,64.0%,5.1%,-9.0%,71.4%,0.891
REGN,IBB,49,61.2%,7.9%,-9.4%,53.6%,0.866
NBIX,IBB,56,57.1%,5.5%,-8.5%,48.6%,0.860
NTRA,IBB,17,58.8%,5.4%,-13.7%,53.8%,0.835
APLS,XBI,20,55.0%,10.0%,-12.2%,50.0%,0.833
ROIV,IBB,7,42.9%,5.5%,-5.9%,40.0%,0.826
ALNY,IBB,50,54.0%,5.0%,-8.3%,54.8%,0.820
PTGX,XBI,12,66.7%,9.9%,-14.8%,57.1%,0.809
NUVL,XBI,5,60.0%,16.5%,-7.4%,50.0%,0.791
EXEL,XBI,57,57.9%,4.9%,-10.8%,52.8%,0.785
INSM,IBB,61,57.4%,9.3%,-15.9%,55.6%,0.750
CRSP,XBI,21,61.9%,4.2%,-13.5%,57.1%,0.750
INCY,IBB,58,58.6%,4.4%,-10.3%,52.9%,0.746
PRAX,XBI,9,55.6%,42.8%,-19.8%,80.0%,0.744
MDGL,XBI,49,53.1%,9.6%,-12.8%,38.7%,0.742
ILMN,IBB,44,52.3%,4.1%,-12.1%,63.0%,0.716
TGTX,XBI,31,45.2%,11.3%,-17.0%,43.5%,0.705
ARWR,XBI,66,42.4%,6.0%,-14.4%,42.5%,0.668
IONS,IBB,75,49.3%,3.6%,-11.5%,47.9%,0.633
KYMR,XBI,11,45.5%,13.5%,-14.5%,33.3%,0.627
UTHR,IBB,44,56.8%,-0.2%,-10.6%,64.5%,0.533
BIIB,IBB,56,53.6%,0.4%,-7.8%,54.3%,0.521
BEAM,XBI,19,52.6%,0.3%,-12.4%,57.1%,0.505
ALKS,XBI,62,50.0%,1.2%,-10.3%,51.4%,0.498
TWST,XBI,18,44.4%,0.3%,-17.4%,50.0%,0.374
PCVX,XBI,7,57.1%,-1.8%,-17.3%,66.7%,0.320
TVTX,XBI,24,41.7%,-1.1%,-13.9%,53.3%,0.312
ERAS,XBI,9,33.3%,-2.9%,-16.2%,28.6%,0.090
SRRK,XBI,20,45.0%,-4.9%,-16.9%,37.5%,0.059
